Specific-Bean-Origin-or-Bar-Name,Broad-Bean-Origin,Cocoa-Percent,Bean-Type
Peru,Peru,78%,Criollo
"Wampusirpi, batch 007",Honduras,75%, 
Terreiro Velho P.,Sao Tome & Principe,80%,Forastero
Ben Tre,Vietnam,70%,Trinitario
Ham Luong,Vietnam,80%,Trinitario
Ba Lai,Vietnam,74%,Trinitario
Rio Caribe,Venezuela,70%,Trinitario
Guapiles,Costa Rica,65%, 
Carenero Superior,Venezuela,81%,Criollo
"Carenero, Guapiles, Ocumare blend","Cost Rica, Ven",74%, 
Ocumare,Venezuela,72%,Criollo
"Peru, Madagascar","Peru, Madagascar",55%, 
Trinidad,Trinidad,55%,Trinitario
Porcelana,Venezuela,70%,Criollo (Porcelana)
Red Vanilla, ,62%, 
"Venezuela, Trinidad","Venezuela, Trinidad",62%, 
Belize,Belize,80%,Trinitario
Ecuador,Ecuador,80%, 
Dominican Republic,Dominican Republic,80%, 
"Monte Alegre, D. Badaro, Raw, Organic",Brazil,75%, 
Blue Mountain,Jamaica,76%, 
Cuyagua,Venezuela,76%, 
Maya Mountain,Belize,76%,Trinitario
Grenada,Grenada,58%,Trinitario
Supremo- SF, ,62%, 
Elvesia P.,Dominican Republic,74%,"Trinitario, Criollo"
"Madagascar, Grand Cru",Madagascar,64%,Criollo
Maracaibo Clasificado,Venezuela,65%,Criollo
Arriba,Ecuador,72%,Forastero (Arriba)
"Alto Beni, Cru Savage",Bolivia,68%,Criollo (Wild)
Puerto Rico,Puerto Rico,65%, 
Dominican Republic,Dominican Republic,80%, 
Dominican Republic,Dominican Republic,70%, 
Dominican Republic,Dominican Republic,85%, 
Rio Eni,Peru,72%,Criollo
Dominican Republic,Domincan Republic,70%, 
Puerto Rico,Domincan Republic,80%, 
"Akesson's E., Sambirano V.",Madagascar,70%, 
"Camino Verde P., Balao, Guayas",Ecuador,75%, 
"Kokoa Kamili Coop, Kilombero",Tanzania,67%,Trinitario
Choroni,Venezuela,70%, 
Ocumare,Venezuela,70%, 
Canoabo,Venezuela,70%, 
Sur del Lago,Venezuela,60%, 
Costa Rica,Costa Rica,70%, 
Peru Brutus,Peru,75%, 
Vietnam,Vietnam,80%,Trinitario
Ghana,Ghana,60%,Forastero
Madagascar,Madagascar,65%,Trinitario
"Norandino, batch 161208",Peru,70%, 
Guatemala,Guatemala,73%, 
San Andres,Costa Rica,80%, 
Matagalpa,Nicaragua,68%, 
"Palo Blanco, Chulucanas",Peru,66%, 
Tumbes Coop,Peru,70%,Criollo
"Palo Blanco, Chulucanas",Peru,61%, 
"Palo Blanco w/ panela, Chulucanas",Peru,81%, 
"Maranon Canyon, Fortunato No. 4",Peru,70%,Forastero (Nacional)
La Red,Dominican Republic,65%, 
"Maranon, #228, MR, SC",Peru,70%,Forastero (Nacional)
"Maranon, #227, LR, MC",Peru,70%,Forastero (Nacional)
"Maranon, #229, MR, LC",Peru,70%,Forastero (Nacional)
"Maranon, #230, DR, LC",Peru,70%,Forastero (Nacional)
"Conacado, #223, MR, SC",Dominican Republic,72%, 
"Conacado, #224, MR, MC",Dominican Republic,72%, 
"San Martin, Bellavista Coop, #226, DR, MC",Peru,70%, 
"Bellavista Coop, #225, LR, MC, CG Exclusive",Peru,70%,Trinitario
"Markham Valley, #219, LR, MC",Papua New Guinea,69%, 
"Markham Valley, #221, DR, MC",Papua New Guinea,69%, 
"Sambirano Valley, #216, MR, LC",Madagascar,74%,Trinitario
"Markham Valley, #220, MR, MC",Papua New Guinea,69%,Trinitario
"Markham Valley, #222, LR, 0C",Papua New Guinea,69%,Trinitario
"Ghana, #211, MR, MC",Ghana,74%,Forastero
"Jamaica, #209, DR, SC",Jamaica,70%,Trinitario
"Conacado, #212, LR, SC",Dominican Republic,72%, 
"Jamaica, #210, DR, MC",Jamaica,70%,Trinitario
"Sambirano Valley, #214, LR, MC",Madagascar,74%,Trinitario
"Conacado, #213, DR, -C",Dominican Republic,72%, 
"Sambirano Valley, #215, MR, MC",Madagascar,74%,Trinitario
"Chuao, #218, MR, MC",Venezuela,76%,Trinitario
"Chuao, #217, DR, MC",Venezuela,70%,Trinitario
"Jamaica, #204, DR, SC",Jamaica,80%,Trinitario
"Jamaica, #206, DR, LC",Jamaica,70%,Trinitario
"Jamaica, #205, DR, MC",Jamaica,70%,Trinitario
"Carenero Superior, #203, MR, SC",Venezuela,65%,Criollo
"Rugoso, Bad Fermentation",Nicaragua,70%, 
La Dalia,Nicaragua,60%, 
La Dalia,Nicaragua,85%, 
La Dalia,Nicaragua,70%, 
"Barba, Xoco",Nicaragua,70%, 
"Medagla, Xoco",Nicaragua,70%, 
"Chuno, triple turned, Xoco",Nicaragua,70%,"Criollo, Trinitario"
"Red Mayan, Xoco",Honduras,70%,"Criollo, Trinitario"
"Chuno, double turned, Xoco",Nicaragua,70%,"Criollo, Trinitario"
"Rugoso, Xoco",Nicaragua,70%, 
"Johe, Xoco",Nicaragua,70%,"Criollo, Trinitario"
"Chuno, Xoco",Nicaragua,70%,"Criollo, Trinitario"
"Nicaliso, Xoco",Nicaragua,70%,"Criollo, Trinitario"
"Wild Bolivian, Batch 2",Bolivia,74%,Beniano
"Coto Brus, Heirloom, Batch 1",Costa Rica,74%,Amazon mix
Gran Couva,Trinidad,70%,Trinitario
Maranon,Peru,76%,Forastero (Nacional)
La Red,Dominican Republic,70%, 
Camino Verde,Ecuador,75%, 
Peru,Peru,70%, 
Signature Blend,Costa Rica,66%,Trinitario
Costa Rica,Costa Rica,70%, 
"Kaua'I, Alea Estate +world",Hawaii,85%,Blend
Akesson P.,Madagascar,65%,Trinitario
ABOCFA Coop,Ghana,70%,Forastero
Conacado Coop,Domincan Republic,70%,Trinitario
Conacado Coop,Domincan Republic,80%,Trinitario
Akesson P.,Madagascar,75%,Trinitario
"Toledo District, 2015 Harvest",Belize,70%, 
Bahia,Brazil,66%,"Trinitario, Forastero"
"Almendra Blanca, batch 1004",Mexico,77%, 
"El Carmen, batch 1003",Nicaragua,77%, 
"Asochivite, batch 1005",Guatemala,77%, 
"Ben Tre, Dong Nai",Vietnam,72%,Trinitario
Dark, ,70%, 
Madagascar,Madagascar,70%, 
Grenada,Grenada,82%,Trinitario
Grenada,Grenada,60%,Trinitario
Grenada,Grenada,71%,Trinitario
Arriba,Ecuador,64%,Forastero (Arriba) ASS
Ghana,Ghana,64%,Forastero
Trinidad & Tobago,"Trinidad, Tobago",64%, 
Lacri Blend,Venezuela,76%, 
Blend,"Ven, Trinidad, Ecuador",64%, 
"Epique, Blend No. 49", ,70%, 
Haiti,Haiti,65%, 
Nicaragua,Nicaragua,65%, 
Jamaica,Jamaica,65%,Trinitario
Ecuador,Ecuador,65%, 
Coucher du Soleil, ,72%, 
Lever du Soleil, ,61%, 
Onyx, ,72%, 
Trinidad,Trinidad,65%,Trinitario
"O'ahu, N. Shore, Waialua E., Kakoleka",Hawaii,55%, 
Nocturne, ,91%, 
Complexite, ,70%,Blend
Machu Pichu,Peru,65%, 
Special Maker Reserve, ,64%, 
Ocumare,Venezuela,65%, 
Quetzalcoatl, ,72%,Blend
Chucuri,Colombia,65%,Trinitario
Sur del Lago,Venezuela,65%,"Trinitario, Criollo"
"Sambirano, Ambanja",Madagascar,65%,"Criollo, +"
"Los Rios, Quevedo",Ecuador,65%,Forastero (Arriba)
Tsaranta, ,61%,Blend
Semisweet, ,61%,Blend
Papua New Guinea,Papua New Guinea,80%, 
Campesino w/ nibs, ,74%, 
Dominican Republic,Dominican Republic,75%, 
Trinitario, ,70%,Trinitario
Downtown London, ,65%, 
Africa meets Latina, ,70%, 
Amazonas, ,80%, 
Sharkey,Hawaii,66%, 
one hundred, ,100%, 
Arriba,Ecuador,77%,Forastero (Arriba)
Don Homero- Cerecita Valley,Ecuador,55%,Trinitario
Don Homero- Cerecita Valley,Ecuador,70%,Trinitario
South America and Africa,"South America, Africa",70%, 
"Vale do Juliana, w/ nibs",Brazil,85%, 
Brazil Blend,Brazil,67%, 
"Tome Acu E., Amazon Rainforest",Brazil,77%, 
"Vale do Juliana E., Atlantic Forest",Brazil,74%, 
Peru,Peru,64%, 
"Maya Mtn, Moho R., Toledo D., 2015",Belize,70%,Amazon
"Cota Brus, Terciopelo, 2015",Costa Rica,74%,Amazon mix
"Alto Beni, Upper Rio Beni, 2014",Bolivia,67%,"Amazon, ICS"
"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",Bolivia,67%,Beniano
"Los Rios, Hacienda Limon, Orecao, 2014",Ecuador,67%,EET
"Maunawili, O'ahu, Agri Research C., 2014",Hawaii,67%, 
"Maunawili, O'ahu, Agri Research C., 2015",Hawaii,72%, 
"Los Rios, Hacienda Limon, Orecao, 2015",Ecuador,70%,EET
"Pinchincha, Mindo, Coop Nueva Esper., 2015",Ecuador,77%,EET
"Alto Beni, Upper Rio Beni, 2015",Bolivia,68%,"Amazon, ICS"
"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",Bolivia,72%,Beniano
Uganda,Uganda,57%,Forastero
Venezuela,Venezuela,74%,Criollo
Tanzania,Tanzania,70%, 
Madagascar,Madagascar,74%,Trinitario
Venezuela,Venezuela,70%, 
Ecuador,Ecuador,73%, 
Peru,Peru,70%, 
Akesson's Estate,Madagascar,70%,Trinitario
Carenero Superior,Venezuela,72%,Trinitario
Conacado,Domincan Republic,75%,Trinitario
Gran Blanco,Peru,66%,Criollo
Arriba,Ecuador,80%,Forastero (Arriba) ASS
Manabi,Ecuador,80%,Forastero (Arriba) ASS
Arriba,Ecuador,72%,Forastero (Arriba) ASS
Arriba,Ecuador,58%,Forastero (Arriba) ASS
Manabi,Ecuador,58%,Forastero (Arriba) ASS
Maranon,Peru,70%, 
"Camino Verde P., Balao, Guayas",Ecuador,70%, 
Sambirano,Madagascar,70%,Trinitario
Gran Couva,Trinidad,70%,Trinitario
Mara,Venezuela,70%, 
Ivory Coast,Ivory Coast,70%, 
Hispaniola,Dominican Republic,70%, 
San Martin,Peru,70%, 
Hispaniola w/ nibs,Dominican Republic,75%, 
"Ecuador, w/ nibs",Ecuador,72%, 
"Pepiniere, single Cote",St. Lucia,70%, 
"Marcial, single Cote, 2012",St. Lucia,70%,Trinitario
"Island Growers, 2012, 120hr c.",St. Lucia,100%,Trinitario
Trinidad,Trinidad,75%,Trinitario
Mekong Delta & Dong Nai,Vietnam,80%,Trinitario
"Los Rios, H. Iara",Ecuador,90%,Forastero (Nacional)
"Somia Plantation, Akesson, 2012",Madagascar,72%,Trinitario
"Los Rios, H. Iara, 2012",Ecuador,82%,Forastero (Nacional)
"Chanchamayo, Pichanadi, 2012, 60hr c.",Peru,100%, 
"Los Rios, H. Iara, 2012, 120hr c.",Ecuador,100%,Forastero (Nacional)
"Conacado, 2012, 120hr c.",Dominican Republic,100%, 
Sambirano,Madagascar,66%,"Trinitario, Criollo"
"Los Rios, H. Iara, 96hr c.",Ecuador,80%,Forastero (Nacional)
"Island Growers, 120hr c.",St. Lucia,65%,Trinitario
"Island Growers, 96hr c.",St. Lucia,65%,Trinitario
Ecuador,Ecuador,70%, 
Santo Domingo,Dominican Republic,70%, 
Chuao,Venezuela,70%,Trinitario
St. Lucia,St. Lucia,72%, 
Uganda,Uganda,80%,Forastero
Tanzania,Tanzania,75%, 
Uba Budo,Sao Tome,72%,Forastero
Lam Dong,Vietnam,70%,Trinitario
Bolivia,Bolivia,70%,"Criollo, Trinitario"
"Bolivia, Bo-nib-ia, w/ nibs",Bolivia,70%,"Criollo, Trinitario"
Momotombo,Nicaragua,70%,Trinitario
Hispaniola,Dominican Republic,70%,Trinitario
Zorzal Reserva w/ Charles Kerchner,Dominican Republic,70%, 
"Ocumare, Cumboto",Venezuela,70%,"Trinitario, Criollo"
Amazonas,Venezuela,70%,Forastero
"Chuao, Venezuela",Venezuela,72%,Trinitario
Coopertiva Amazona,Venezuela,72%,Criollo
"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",Venezuela,72%, 
"Choroni, Finca Torres, 48hr c.",Venezuela,72%,Criollo
"Ocumare, H. Cata, 48hr c.",Venezuela,72%,Criollo
"Porcelana, Zulia",Venezuela,74%,Criollo
"Ocumare, H. Cata, w/ nibs",Venezuela,72%,Criollo
"Carenero Superior, Urrutia, Barlovento",Venezuela,70%,Trinitario
Coopertiva Amazona w/ nibs,Venezuela,72%,Criollo
"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",Venezuela,72%, 
India (south),India,61%, 
La Red,Dominican Republic,70%, 
"Conacado, Manifesto",Dominican Republic,70%, 
Honduras,Honduras,77%, 
"Satipo region, white label",Peru,72%,Criollo
black label,Peru,72%, 
Madagascar,Madagascar,72%,Trinitario
Peru,Peru,72%, 
Belize,Belize,72%,Trinitario
Dominican Republic,Dominican Republic,72%, 
"Maya Mountain, Toledo, Batch 29",Belize,70%,Trinitario
"Elvesia P., Batch 32",Dominican Republic,70%, 
Trinatario Treasure,Ghana,71%,Trinitario
Madagascar,Madagascar,63%,Trinitario
Belize,Belize,70%,Trinitario
Madagascar,Madagascar,70%,Trinitario
Peru,Peru,70%, 
"Rizek Cacao, Cibao Valley, Domin. Rep.",Dominican Republic,70%, 
"Rizek Cacao, Domin. Rep.",Dominican Republic,82%, 
"Rizek Cacao, Domin. Rep.",Dominican Republic,55%, 
"Rizek Cacao, Domin. Rep.",Dominican Republic,62%, 
Peru,Peru,64%, 
Vanuatu,Vanuatu,65%,Trinitario
Sisa 36hr/ W. F. blend prototype,Ecuador,70%, 
Sisa's Secret/ original micro,Ecuador,70%, 
Roberto,Ecuador,75%, 
Diego/ original micro,Ecuador,85%, 
Diego 48hr/ W.F. blend prototype,Ecuador,85%, 
Diego 60hr/ W.F. blend prototype,Ecuador,85%, 
Cacao Nacional W.F.,Ecuador,75%, 
Cacao Nacional W.F.,Ecuador,85%, 
Noir, ,70%, 
Ecuador,Ecuador,80%, 
"La Red, Project Reserva, Guaconejo",Dominican Republic,70%, 
Dark,Mexico,72%, 
"La Red, Guanconjeco",Dominican Republic,60%,Trinitario
San Martin,Peru,72%, 
Ocumare,Venezuela,72%, 
Belize,Belize,72%,Trinitario
Sambirano Valley,Madagascar,72%,Trinitario
Belize,Belize,90%,Trinitario
Elvesia,Dominican Republic,72%, 
ROIG,Dominican Republic,72%, 
"Kafupbo, Petit Bourg, De Borgnes",Haiti,70%, 
"Maranon, Fortunato No. 4",Peru,70%,Forastero (Nacional)
"Los Rios, Hacienda Limon, Heirloom",Ecuador,70%, 
"Bahia, Fazenda Camboa",Brazil,70%,Forastero
Uganda,Uganda,72.50%,Forastero
Hispaniola,Dominican Republic,72.50%, 
Ecuador,Ecuador,72.50%, 
Madagascar,Madagascar,72.50%,Trinitario
Peru,Peru,74%, 
Brazil,Brazil,70%, 
Chuao,Venezuela,68%,Trinitario
Quito,Ecuador,74%, 
Grenada,Grenada,75%,Trinitario
Dominican Republic,Dominican Republic,74%, 
Venzuela,Venezuela,71%, 
Madagascar,Madagascar,64%,Trinitario
Bolivian,Bolivia,68%, 
"Lumas, 2015 Harvest, Batch 6, brown sugar",Peru,70%,"Trinitario, Criollo"
"Lumas, 2015 Harvest, Batch 7",Peru,70%,"Trinitario, Criollo"
"Tumbes, 2013 Harvest, Batch 8",Peru,70%,Criollo
"Belize, 2014 Harvest, Batch 9",Belize,70%,"Trinitario, Criollo"
"Cuana, 2013","Africa, Carribean, C. Am.",74%, 
Tobago,Tobago,60%, 
"Acarigua, w/ nibs",Ecuador,56%, 
Loma Sotavento,Dominican Republic,66%, 
Grenada,Grenada,68%,Trinitario
Akosombo,Ghana,68%,Forastero
"Porcelana, Pariguan",Venezuela,69%,Criollo (Porcelana)
Kuruba, ,60%, 
Orinoco, ,60%, 
"Cuana, 2008","Ven., Indonesia, Ecuad.",74%,Blend
Peruvian Amazon,Peru,72%, 
Vinces,Ecuador,60%, 
"Madagascar, Batch 59/100",Madagascar,75%,Trinitario
"Vietnam, Batch 50/100",Vietnam,75%,Trinitario
"Cuba, Batch 59/100",Cuba,75%, 
"Peru, Batch 51/100",Peru,75%, 
"Ivory Coast, Batch 56/100",Ivory Coast,75%, 
"Sao Tome, Batch 151",Sao Tome,75%,Forastero
"Bahia, Batch 148",Brazil,75%, 
"Lam Dong, Batch 153",Vietnam,75%,Trinitario
Cuba,Cuba,70%, 
Trinidad-Tobago,Trinidad-Tobago,68%, 
Catongo,Brazil,70%,Forastero (Catongo)
Tanzania,Tanzania,75%, 
Rugoso,Nicaragua,80%,Trinitario
Carenero Superior,Venezuela,75%,Trinitario
Rio Caribe,Venezuela,75%,Trinitario
Blend,"Peru, Ecuador, Venezuela",72%,Criollo
"La Masica, Batch 7, FHIA",Honduras,70%, 
"Maya Mtn, Batch 18, Heirloom",Belize,70%, 
Liberia,Liberia,70%, 
Beniamo,Bolivia,70%, 
"San Juan Estate, Gran Couva",Trinidad,70%,Trinitario
San Andres,Costa Rica,70%, 
"La Red, Guaconejo",Domincan Republic,70%, 
Kokoa Kamili,Tanzania,70%, 
Maranura,Peru,70%,Forastero (Nacional)
Sambirano,Madagascar,71%,Criollo
Madagascar,Madagascar,70%,Trinitario
Perfect Illusion,Peru,65%,Criollo
"Bolivia, Wild Thing",Bolivia,68%,Criollo
La Selva,Peru,68%, 
Purple Haze,"Venezuela, Dom. Rep.",75%, 
"The Other One, Grand Cru",Dominican Republic,74%, 
Wild Thing,Bolivia,68%,Criollo
Excellence (US Version), ,85%, 
Puerto Rico,Puerto Rico,65%, 
"Haleiwa, O'ahu; Lonohana E., Kanahiku",Hawaii,70%, 
"Haleiwa E, O'ahu, 2014",Hawaii,65%, 
"Haleiwa E, O'ahu, 2014",Hawaii,75%, 
"Opaeula Estate, O'ahu, Nene, CG Exclusive",Hawaii,71%, 
"Opaeula Estate, O'ahu, Ele'ele",Hawaii,72%, 
"Hawaiian Crown, Kona Vanilla",Hawaii,70%, 
Nicaragua,Nicaragua,75%, 
Selva,"Colombia, Ecuador",46%, 
Macondo,"Colombia, Ecuador",60%, 
Misterio,"Colombia, Ecuador",58%, 
Santander,Colombia,65%, 
Peru,Peru,70%, 
Peru,Peru,55%, 
Madagascar,Madagascar,67%,Trinitario
Madagascar,Madagascar,70%,Trinitario
Madagascar,Madagascar,63%,Trinitario
Madagascar,Madagascar,75%,Trinitario
Guadalcanal,Solomon Islands,73%, 
Puerto Rico,Puerto Rico,70%, 
Brazil,Brazil,70%, 
"Choobua, Kona",Hawaii,70%, 
"Xocunusco, Chiapas, Pichucalco",Mexico,70%, 
"Hamakua Coast, Kokoleka",Hawaii,70%, 
"Criollo, Hawaii",Hawaii,70%,Criollo
Kaua'i,Hawaii,70%, 
Dominican,Dominican Republic,70%, 
Upala,Costa Rica,70%, 
"Chiapas, Triple Cacao",Mexico,72%, 
Africa,Tanzania,75%, 
Ecuador,Ecuador,70%,Forastero (Nacional)
Cuba,Cuba,70%,Criollo
Santo Domingo,Dominican Republic,70%,"Blend-Forastero,Criollo"
Ecuador,Ecuador,70%, 
Sambirano 2006,Madagascar,75%,Trinitario
Mora Mora 2006,Madagascar,73%,Trinitario
"Davao, Mt. Talamo foothills",Philippines,65%,Trinitario
"O'ahu, N. Shore, Waialua Estate w/ nibs",Hawaii,55%, 
"O'ahu, N. Shore, Waialua Estate",Hawaii,55%,Blend
Chuao,Venezuela,70%, 
Ecuador,Ecuador,74%, 
Peru,Peru,74%, 
Venezuela,Venezuela,74%, 
Conacado,Dominican Republic,74%, 
Colombia,Colombia,70%, 
Markham Valley,Papua New Guinea,72%, 
Coto Brus,Costa Rica,72%, 
"Waiahole, O'ahu",Hawaii,72%, 
"Liberia, #174",Liberia,72%, 
"Hamakua, Hawaiian Crown, #176",Hawaii,72%, 
Piura,Peru,72%, 
"Oahu, Winward, #151, Maunawili district",Hawaii,72%, 
Johe,Nicaragua,70%, 
Peru,Peru,70%, 
Porcelana,Venezuela,70%,Criollo
Kolumbia,Colombia,85%, 
Grand Cru Dominican Republic,Dominican Republic,70%, 
Grand Cru Ghana,Ghana,70%,Forastero
Grand Cru Ecuador,Ecuador,70%, 
"Ben Tre, Surprise Valley",Vietnam,75%,Trinitario
"ROIG, 2014",Dominican Republic,70%,"Criollo, Trinitario"
"Maranon, 2014",Peru,62%,Forastero (Nacional)
Ecuador,Ecuador,70%,Trinitario
"San Juan Estate, Cherry Blossoms at Night",Trinidad,70%,Trinitario
"A case of the Xerces Blues, triple roast",Nicaragua,70%, 
"Tumbes, Dear Mr. Finley, 2014",Peru,68%,Criollo
Colombia,Colombia,75%, 
"Kakoa Kamili, Both Man & Bird & Beast",Tanzania,72%, 
Le Chocolat Chaud,Honduras,78%, 
Piura,Peru,70%, 
Cusco,Peru,70%, 
San Martin,Peru,70%, 
Cacao Nib Crunch, ,75%, 
"Tan Phu Dong Island, Heart of Darkness",Vietnam,85%,Trinitario
Ben Tre,Vietnam,68%,Trinitario
"Dak Lak, Batch 2451",Vietnam,70%,Trinitario
"Tan Phu Dong, Treasure Island",Vietnam,75%,Trinitario
Ba Ria,Vietnam,76%,Trinitario
Dong Nai,Vietnam,72%,Trinitario
"Tien Giang, Gao Co-op",Vietnam,70%,Trinitario
Ben Tre,Vietnam,78%,Trinitario
Tien Giang,Vietnam,80%,Trinitario
Lam Dong,Vietnam,74%,Trinitario
"Matina 1-6, prototype",Costa Rica,65%, 
Ivory Coast,Ivory Coast,65%, 
Nigeria,Nigeria,65%, 
"Ghana, prototype",Ghana,65%,Forastero
Dominican Republic,Dominican Republic,74%, 
Dominican Republic,Dominican Republic,89%, 
Alto Beni,Bolivia,76%, 
Pisa,Haiti,82%, 
Tumaco,Colombia,74%, 
Guatemala,Guatemala,76%, 
Tanzania,Tanzania,74%, 
French Laundry 20th Anniversary,"Peru, Belize",75%,Blend
Shake Shack,"Peru, Mad., Dom. Rep.",73%,Blend
Madagascar,,72%,Trinitario
Chuao,Venezuela,73%,Trinitario
Brooklyn Blend, ,72%, 
"Chuao, Med. Roast",Venezuela,76%,Trinitario
"Chuao, Dark Roast",Venezuela,70%,Trinitario
"Chuao, Light Roast",Venezuela,81%,Trinitario
Moho River,Belize,70%,Trinitario
Papua New Guinea,Papua New Guinea,71%, 
San Martin,Peru,75%, 
Conacado,Dominican Republic,73%, 
"La Red de Guanconejo, N. Highlands coop",Dominican Republic,74%, 
Patanemo,Venezuela,81%,Criollo
Ocumare de la Costa,Venezuela,75%, 
"Dominican Republic, Coop",Dominican Republic,70%, 
"Malekula P., 2013",Vanuatu,72%,Trinitario
"Somia, 2013",Madagascar,68%,Trinitario
"Kulili P., 2013",Papua New Guinea,74%,Trinitario
Blend,"PNG, Vanuatu, Mad",70%,Trinitario
Maya Mountain,Belize,70%,Trinitario
Elvesia,Dominican Republic,70%, 
Tumbes,Peru,82%,Criollo
"Morropon, Norandiono Coop, Piura",Peru,63%,Criollo
Hispaniola,Domincan Republic,72%, 
Bolivia,Bolivia,70%, 
Venezuela,Venezuela,70%, 
Belize,Belize,70%,Trinitario
"Nicaragua, w/ inbs",Nicaragua,70%, 
Dominican Republic,Dominican Republic,70%, 
Madagascar,Madagascar,80%,Trinitario
Madagascar,Madagascar,72%,Trinitario
El Salvador,El Salvador,80%, 
El Salvador,El Salvador,70%, 
Honduras,Honduras,80%, 
Honduras,Honduras,70%, 
"La Tronca, Matagalpa",Nicaragua,70%, 
"La Tronca, Matagalpa",Nicaragua,80%, 
"Fazenda Sempre Firme P., Bahia",Brazil,70%, 
Akesson Estate,Madagascar,72%,Trinitario
South America,South America,70%,Trinitario
"Chiapas, Mokaya P.",Mexico,66%, 
"Carenero Superior, Concepcion",Venezuela,66%,Trinitario
Vila Gracinda,Sao Tome,67%,Forastero
Carre Amer, ,60%, 
Carre Grand Noir, ,85%, 
Tamarina,Sao Tome,70%,Forastero
Los Ancones P.,Dominican Republic,67%, 
Mangaro P.,Madagascar,65%,Trinitario
Maralumi P.,Papua New Guinea,64%, 
Noir Infini, ,99%, 
Maya Mountain,Belize,80%,Trinitario
San Juan Estate,Trinidad,70%,Trinitario
Oko Caribe,Dominican Republic,75%, 
"Patanemo, Epoch, Donaldo",Venezuela,75%, 
Kokoa Kamili,Tanzania,75%, 
"Matagalpa, Cacao Bisiesto",Nicaragua,70%, 
La Red,Dominican Republic,75%, 
Belize,Belize,80%,Trinitario
Houseblend, ,65%, 
Alto Beni,Bolivia,75%,Criollo
"Balinese, Java",Indonesia,70%,Criollo
Ecuador,Ecuador,70%,Forastero (Nacional)
Ecuador,Ecuador,70%, 
Ecuador,Ecuador,67%, 
Ecuador,Ecuador,77%, 
"Acul-du-Nord, 2015",Haiti,70%,"Criollo, Trinitario"
"Fazenda Camboa, Bahia",Brazil,75%, 
"Bahia, Fazenda Venturosa",Brazil,70%,Forastero (Parazinho)
Tumaco,Colombia,65%, 
"Toledo District, w/ nibs",Belize,73%,Trinitario
Toledo District,Belize,72%,Trinitario
"Umoho R., Toledo District, San Felipe",Belize,67%,Trinitario
La Red,Domincan Republic,70%, 
Indonesia,Indonesia,70%, 
Peru,Peru,70%, 
Matagalpa,Nicaragua,70%, 
Mombacho,Nicaragua,70%, 
Oscuro,Nicaragua,70%, 
Oko Caribe,Dominican Republic,72%, 
Papaua New Guinea,Papua New Guinea,70%, 
Manabi,Ecuador,70%, 
Manabi,Ecuador,63%, 
Manabi,Ecuador,85%, 
Nicaragua,Nicaragua,70%, 
Nicaragua,Nicaragua,80%, 
"Kokoa Kamili, batch 1 SRB",Tanzania,68%, 
"Oko Caribe, batch 1 SRB",Domincan Republic,71%, 
"Ambanja, batch 1 SRB",Madagascar,68%, 
"Tien Giang, batch 1 SRB",Vietnam,80%,Trinitario
"Costa Rica, Oscuro",Costa Rica,58%, 
"Costa Rica, Oscuro",Costa Rica,70%, 
Trinidad & Tobago,"Trinidad, Tobago",70%, 
"Maranon Canyon, Fortunato No. 4",Peru,78%,Forastero (Nacional)
Grenada,Grenada,71%,Trinitario
Nicaragua,Nicaragua,70%,Criollo
Chuao,Venezuela,75%,Trinitario
Barinas,Venezuela,70%, 
Criollo Blend,Hawaii,85%, 
Peru,Peru,72%, 
Hispaniola,Dominican Republic,70%, 
Madagascar,Madagascar,73.50%,Trinitario
Ghana,Ghana,70%,Forastero
Papua New Guinea,Papua New Guinea,70%,Criollo
Manickchand Estate,Trinidad,67%,Trinitario
Dark, ,73%, 
West Africa,West Africa,73%,Forastero
Sao Tome,Sao Tome,75%,Forastero
Ocumare,Venezuela,71%,Criollo
Patanemo,Venezuela,72%,Criollo
Elvesia P.,Dominican Republic,72%,Trinitario
"Ambanja, Sambirano Valley",Madagascar,72%,Trinitario
Tumbes,Peru,72%,Criollo
Peru,Peru,75%, 
Ecuador,Ecuador,75%, 
Ghana,Ghana,75%,Forastero
Moho Valley,Belize,75%,Trinitario
Maranon Canyon,Peru,75%,Forastero (Nacional)
Venezuela,Venezuela,70%, 
Ecuador,Ecuador,70%, 
"La Patriota, cacao Indio, purple label",Nicaragua,70%, 
"La Dalia, Matagalpa,cacao Bisesto,green label",Nicaragua,75%, 
"Punta Galera, cacao Nacional, gold label",Ecuador,80%,Forastero (Nacional)
"Ghana, 2013",Ghana,70%,Forastero
"Ecuador, 2013",Ecuador,70%,Trinitario
"Canoabo, 2013",Venezuela,70%,Criollo
"Sambirano Valley, 2012",Madagascar,70%,Trinitario
La Red,Dominican Republic,70%, 
Fazenda Leolinda,Brazil,70%,Trinitario (Scavina)
Jamaica,Jamaica,70%,Trinitario
Pangoa,Peru,70%,Criollo
"Pangoa, w/ nibs",Peru,70%,Criollo
Virunga,Congo,70%,Forastero
Piura,Peru,75%,Criollo
Sang Yum Coop,Samoa,100%, 
Sang Yum Coop,Samoa,70%, 
"PNG, Devotion",Papua New Guinea,66%, 
"PNG, Revolution",Papua New Guinea,70%, 
